role,engine_id,n_rows,early_rows,late_rows,delta__sensor_2,delta__sensor_3,delta__sensor_4,delta__sensor_6,delta__sensor_7,delta__sensor_8,delta__sensor_9,delta__sensor_10,delta__sensor_11,delta__sensor_12,delta__sensor_13,delta__sensor_14,delta__sensor_15,delta__sensor_17,delta__sensor_20,delta__sensor_21,PC1,PC2,raw_cluster,latent_group
train,1,259,52,52,1.0394230769231854,11.494423076922658,23.000384615384746,0.00115384615385139,-2.1538461538463025,0.1794230769232854,5.541923076922103,0.0,0.6436538461538532,-1.7846153846153356,0.176538461538712,-0.8211538461528107,0.08009807692307902,3.596153846153811,-0.42250000000000654,-0.24499230769231062,-2.6282422450819367,2.4278193028041364,1,latent_A
train,4,272,55,55,0.7461818181819808,8.006363636363858,15.403636363636679,0.0,-1.514363636363555,0.1278181818183839,-0.04072727272796328,0.0,0.4332727272727297,-1.3036363636365422,0.13054545454542676,-4.981454545452834,0.055245454545456596,2.127272727272725,-0.28945454545456073,-0.16597090909090895,-3.16898695096764,-2.818093693575454,1,latent_A
train,5,213,43,43,0.7613953488372545,9.334651162790806,18.77000000000021,0.0,-1.5893023255813432,0.06860465116233172,43.13023255813823,0.0,0.5032558139535013,-1.2167441860464123,0.07023255813965079,33.476511627904074,0.06119302325581266,2.8139534883720785,-0.32674418604651123,-0.1817418604651131,-2.5222396546434642,-1.5968260787589879,1,latent_A
train,6,278,56,56,0.9291071428571058,9.379821428571177,19.996250000000373,0.0001785714285702511,-1.7894642857143026,0.12928571428574287,15.586071428571813,0.0,0.5591071428571439,-1.4905357142857838,0.12107142857121289,7.617321428570904,0.06987857142857301,2.6071428571428896,-0.3708928571428629,-0.1814946428571389,-3.0091869764348713,-0.20928470830293983,1,latent_A
train,7,424,85,85,0.9062352941175504,13.998705882353079,19.56658823529392,-0.003529411764706225,9.741647058823446,0.3567058823532534,48.199294117648606,0.009058823529411786,0.6975294117647053,9.271882352941134,0.3540000000002692,36.945882352943045,-0.10454117647058858,3.494117647058772,0.4017647058823499,0.23253176470588244,3.325809255531109,1.199195993644214,0,latent_B
train,8,267,54,54,0.5811111111111131,9.007037037037207,14.479259259259607,0.0,-1.390555555555693,0.07796296296373839,22.09055555555824,0.0,0.42370370370370125,-1.1416666666667652,0.07203703703635256,15.691481481481787,0.054059259259261694,2.314814814814838,-0.22814814814815065,-0.14770185185184914,-2.60273850768512,-3.649267557231462,1,latent_A
train,9,406,82,82,0.7410975609755042,12.022682926829248,17.850121951219535,0.00048780487805188955,8.043170731707391,0.30256097561004935,40.527073170729636,0.011463414634146352,0.5765853658536599,7.653414634146202,0.29378048780563404,30.862560975609995,-0.08273536585365981,2.902439024390276,0.32329268292681235,0.19006097560976087,2.3219265100455027,-1.0064939070333443,0,latent_B
train,10,481,97,97,0.7796907216495583,12.429381443299008,16.914226804123473,-0.09649484536082298,6.115360824742197,0.34319587628942827,42.294123711339125,0.0038144329896907525,0.5591752577319582,5.883505154639238,0.33597938144339423,33.682371134021196,-0.11487422680412429,3.2164948453608417,0.17938144329896488,0.1184494845360895,2.4889624482141115,-1.246731181482623,0,latent_B
train,11,197,40,40,0.9237500000000409,14.107250000000022,20.284500000000207,-0.008749999999999147,9.211000000000126,0.3312499999992724,46.82050000000163,0.00924999999999998,0.6972500000000039,8.994500000000016,0.34625000000005457,36.43174999999974,-0.10445499999999974,3.2999999999999545,0.3817499999999967,0.23234750000000304,3.114718798509858,1.2560099804994176,0,latent_B
train,12,170,34,34,0.8620588235293098,10.135882352940598,18.515882352941162,0.00029411764705855603,-1.7785294117647936,0.13529411764693577,5.248823529409492,0.0,0.5511764705882172,-1.5338235294116203,0.1411764705881069,-1.7550000000010186,0.07216176470588209,2.764705882352928,-0.32764705882354406,-0.1809294117647049,-2.8107413157701306,-0.40687948644886374,1,latent_A
