feature,feature_group,spearman_RUL,absolute_spearman_RUL,constant,near_constant
sensor_11,sensor,-0.7537509580942598,0.7537509580942598,False,False
sensor_13,sensor,-0.7296770283722102,0.7296770283722102,False,False
sensor_8,sensor,-0.728965449761665,0.728965449761665,False,False
sensor_4,sensor,-0.7218424711314285,0.7218424711314285,False,False
sensor_17,sensor,-0.6956725379665424,0.6956725379665424,False,False
sensor_3,sensor,-0.6708764116155062,0.6708764116155062,False,False
sensor_2,sensor,-0.6450308938887798,0.6450308938887798,False,False
sensor_9,sensor,-0.5879255620594728,0.5879255620594728,False,False
sensor_14,sensor,-0.4819548256638462,0.4819548256638462,False,False
sensor_10,sensor,-0.43018120866837334,0.43018120866837334,False,False
sensor_6,sensor,-0.2544819095408915,0.2544819095408915,False,False
sensor_12,sensor,-0.10204673539399212,0.10204673539399212,False,False
sensor_7,sensor,-0.08848953061008134,0.08848953061008134,False,False
sensor_15,sensor,-0.08487383254691618,0.08487383254691618,False,False
sensor_20,sensor,0.08214401831380654,0.08214401831380654,False,False
sensor_21,sensor,0.0814338582525296,0.0814338582525296,False,False
op_setting_2,operating_setting,-0.004490824137693337,0.004490824137693337,False,False
op_setting_1,operating_setting,-0.0020274465148072502,0.0020274465148072502,False,False
op_setting_3,operating_setting,0.0,0.0,True,True
sensor_1,sensor,0.0,0.0,True,True
sensor_16,sensor,0.0,0.0,True,True
sensor_18,sensor,0.0,0.0,True,True
sensor_19,sensor,0.0,0.0,True,True
sensor_5,sensor,0.0,0.0,True,True
