role,engine_id,boundary,healthy_row_count,contributes_any
anomaly_fit,3,100,78,True
anomaly_fit,4,100,88,True
anomaly_fit,6,100,87,True
anomaly_fit,9,100,100,True
anomaly_fit,12,100,69,True
anomaly_fit,14,100,79,True
anomaly_fit,18,100,94,True
anomaly_fit,21,100,94,True
anomaly_fit,22,100,101,True
anomaly_fit,24,100,46,True
anomaly_fit,25,100,129,True
anomaly_fit,26,100,98,True
anomaly_fit,29,100,62,True
anomaly_fit,30,100,93,True
anomaly_fit,33,100,99,True
anomaly_fit,36,100,57,True
anomaly_fit,37,100,69,True
anomaly_fit,38,100,93,True
anomaly_fit,39,100,27,True
anomaly_fit,42,100,95,True
anomaly_fit,44,100,91,True
anomaly_fit,47,100,113,True
anomaly_fit,50,100,97,True
anomaly_fit,52,100,112,True
anomaly_fit,55,100,92,True
anomaly_fit,57,100,36,True
anomaly_fit,58,100,46,True
anomaly_fit,59,100,130,True
anomaly_fit,60,100,71,True
anomaly_fit,61,100,84,True
anomaly_fit,62,100,79,True
anomaly_fit,63,100,73,True
anomaly_fit,64,100,182,True
anomaly_fit,66,100,101,True
anomaly_fit,67,100,212,True
anomaly_fit,68,100,98,True
anomaly_fit,72,100,112,True
anomaly_fit,75,100,128,True
anomaly_fit,76,100,109,True
anomaly_fit,79,100,98,True
anomaly_fit,82,100,113,True
anomaly_fit,83,100,192,True
anomaly_fit,85,100,87,True
anomaly_fit,87,100,77,True
anomaly_fit,88,100,112,True
anomaly_fit,90,100,53,True
anomaly_fit,93,100,54,True
anomaly_fit,94,100,157,True
anomaly_fit,95,100,182,True
anomaly_fit,96,100,235,True
anomaly_fit,99,100,84,True
anomaly_fit,100,100,99,True
anomaly_fit,3,125,53,True
anomaly_fit,4,125,63,True
anomaly_fit,6,125,62,True
anomaly_fit,9,125,75,True
anomaly_fit,12,125,44,True
anomaly_fit,14,125,54,True
anomaly_fit,18,125,69,True
anomaly_fit,21,125,69,True
anomaly_fit,22,125,76,True
anomaly_fit,24,125,21,True
anomaly_fit,25,125,104,True
anomaly_fit,26,125,73,True
anomaly_fit,29,125,37,True
anomaly_fit,30,125,68,True
anomaly_fit,33,125,74,True
anomaly_fit,36,125,32,True
anomaly_fit,37,125,44,True
anomaly_fit,38,125,68,True
anomaly_fit,39,125,2,True
anomaly_fit,42,125,70,True
anomaly_fit,44,125,66,True
anomaly_fit,47,125,88,True
anomaly_fit,50,125,72,True
anomaly_fit,52,125,87,True
anomaly_fit,55,125,67,True
anomaly_fit,57,125,11,True
anomaly_fit,58,125,21,True
anomaly_fit,59,125,105,True
anomaly_fit,60,125,46,True
anomaly_fit,61,125,59,True
anomaly_fit,62,125,54,True
anomaly_fit,63,125,48,True
anomaly_fit,64,125,157,True
anomaly_fit,66,125,76,True
anomaly_fit,67,125,187,True
anomaly_fit,68,125,73,True
anomaly_fit,72,125,87,True
anomaly_fit,75,125,103,True
anomaly_fit,76,125,84,True
anomaly_fit,79,125,73,True
anomaly_fit,82,125,88,True
anomaly_fit,83,125,167,True
anomaly_fit,85,125,62,True
anomaly_fit,87,125,52,True
anomaly_fit,88,125,87,True
anomaly_fit,90,125,28,True
anomaly_fit,93,125,29,True
anomaly_fit,94,125,132,True
anomaly_fit,95,125,157,True
anomaly_fit,96,125,210,True
anomaly_fit,99,125,59,True
anomaly_fit,100,125,74,True
anomaly_fit,3,150,28,True
anomaly_fit,4,150,38,True
anomaly_fit,6,150,37,True
anomaly_fit,9,150,50,True
anomaly_fit,12,150,19,True
anomaly_fit,14,150,29,True
anomaly_fit,18,150,44,True
anomaly_fit,21,150,44,True
anomaly_fit,22,150,51,True
anomaly_fit,24,150,0,False
anomaly_fit,25,150,79,True
anomaly_fit,26,150,48,True
anomaly_fit,29,150,12,True
anomaly_fit,30,150,43,True
anomaly_fit,33,150,49,True
anomaly_fit,36,150,7,True
anomaly_fit,37,150,19,True
anomaly_fit,38,150,43,True
anomaly_fit,39,150,0,False
anomaly_fit,42,150,45,True
anomaly_fit,44,150,41,True
anomaly_fit,47,150,63,True
anomaly_fit,50,150,47,True
anomaly_fit,52,150,62,True
anomaly_fit,55,150,42,True
anomaly_fit,57,150,0,False
anomaly_fit,58,150,0,False
anomaly_fit,59,150,80,True
anomaly_fit,60,150,21,True
anomaly_fit,61,150,34,True
anomaly_fit,62,150,29,True
anomaly_fit,63,150,23,True
anomaly_fit,64,150,132,True
anomaly_fit,66,150,51,True
anomaly_fit,67,150,162,True
anomaly_fit,68,150,48,True
anomaly_fit,72,150,62,True
anomaly_fit,75,150,78,True
anomaly_fit,76,150,59,True
anomaly_fit,79,150,48,True
anomaly_fit,82,150,63,True
anomaly_fit,83,150,142,True
anomaly_fit,85,150,37,True
anomaly_fit,87,150,27,True
anomaly_fit,88,150,62,True
anomaly_fit,90,150,3,True
anomaly_fit,93,150,4,True
anomaly_fit,94,150,107,True
anomaly_fit,95,150,132,True
anomaly_fit,96,150,185,True
anomaly_fit,99,150,34,True
anomaly_fit,100,150,49,True
anomaly_reference,2,100,186,True
anomaly_reference,7,100,158,True
anomaly_reference,8,100,49,True
anomaly_reference,15,100,106,True
anomaly_reference,17,100,175,True
anomaly_reference,20,100,133,True
anomaly_reference,28,100,64,True
anomaly_reference,35,100,80,True
anomaly_reference,48,100,130,True
anomaly_reference,49,100,114,True
anomaly_reference,51,100,112,True
anomaly_reference,53,100,94,True
anomaly_reference,65,100,52,True
anomaly_reference,69,100,261,True
anomaly_reference,80,100,84,True
anomaly_reference,86,100,177,True
anomaly_reference,92,100,240,True
anomaly_reference,98,100,55,True
anomaly_reference,2,125,161,True
anomaly_reference,7,125,133,True
anomaly_reference,8,125,24,True
anomaly_reference,15,125,81,True
anomaly_reference,17,125,150,True
anomaly_reference,20,125,108,True
anomaly_reference,28,125,39,True
anomaly_reference,35,125,55,True
anomaly_reference,48,125,105,True
anomaly_reference,49,125,89,True
anomaly_reference,51,125,87,True
anomaly_reference,53,125,69,True
anomaly_reference,65,125,27,True
anomaly_reference,69,125,236,True
anomaly_reference,80,125,59,True
anomaly_reference,86,125,152,True
anomaly_reference,92,125,215,True
anomaly_reference,98,125,30,True
anomaly_reference,2,150,136,True
anomaly_reference,7,150,108,True
anomaly_reference,8,150,0,False
anomaly_reference,15,150,56,True
anomaly_reference,17,150,125,True
anomaly_reference,20,150,83,True
anomaly_reference,28,150,14,True
anomaly_reference,35,150,30,True
anomaly_reference,48,150,80,True
anomaly_reference,49,150,64,True
anomaly_reference,51,150,62,True
