role,engine_id,n_rows,PC1,PC2,raw_cluster,latent_group
train,1,259,-2.6282422450819367,2.4278193028041364,1,latent_A
train,4,272,-3.16898695096764,-2.818093693575454,1,latent_A
train,5,213,-2.5222396546434642,-1.5968260787589879,1,latent_A
train,6,278,-3.0091869764348713,-0.20928470830293983,1,latent_A
train,7,424,3.325809255531109,1.199195993644214,0,latent_B
train,8,267,-2.60273850768512,-3.649267557231462,1,latent_A
train,9,406,2.3219265100455027,-1.0064939070333443,0,latent_B
train,10,481,2.4889624482141115,-1.246731181482623,0,latent_B
train,11,197,3.114718798509858,1.2560099804994176,0,latent_B
train,12,170,-2.8107413157701306,-0.40687948644886374,1,latent_A
train,13,185,-2.3104465313910003,-4.613740366546026,1,latent_A
train,14,207,-3.0007946007418713,2.5411243075207555,1,latent_A
train,16,344,2.656999079115905,-0.2770189175955448,0,latent_B
train,17,312,4.635625690216718,0.46253124185592787,0,latent_B
train,18,447,3.8050179092430985,0.8148485786117856,0,latent_B
train,19,229,2.0711052647248227,-1.816158467423747,0,latent_B
train,20,338,2.675693172911565,-0.34805538840169853,0,latent_B
train,23,196,-3.1015989976658442,1.2048320466895301,1,latent_A
train,25,193,-1.9215921808915402,1.896781612592056,1,latent_A
train,26,243,-2.5178164765977464,1.6742611446483,1,latent_A
train,27,320,4.1457567003809555,2.4618923228690974,0,latent_B
train,28,200,-2.8210768754389632,0.20857203149633097,1,latent_A
train,29,223,-2.609061843912524,-0.4085096522136691,1,latent_A
train,31,183,-3.138741814432857,-1.8746646945814596,1,latent_A
train,32,189,-1.3735257612982472,-1.7432584632576735,1,latent_A
train,34,459,2.6067285582319264,-0.2803302273635603,0,latent_B
train,35,231,-2.567879991807006,3.1835285045673745,1,latent_A
train,36,324,-2.595204970796465,3.219244875730222,1,latent_A
train,37,324,3.5163950692468835,1.257086930530268,0,latent_B
train,39,288,3.267697218718098,0.9782361785921068,0,latent_B
train,40,188,-3.165369897438327,-1.2963744658410854,1,latent_A
train,41,295,2.588234052342171,-0.2886856239377717,0,latent_B
train,43,321,2.9435697341531264,-0.21120160706921715,0,latent_B
train,44,180,-3.139053671013173,-2.634949074444185,1,latent_A
train,45,205,3.456302651229759,1.0804858997819968,0,latent_B
train,46,204,3.4623317819694432,0.3330346864336337,0,latent_B
train,47,269,-1.8833273095399057,3.011556261696864,1,latent_A
train,48,174,-2.059397876269698,-3.245485365287129,1,latent_A
train,50,161,-2.967355782151621,2.364152493562043,1,latent_A
train,51,190,-1.8592804106871326,-1.366102880286409,1,latent_A
train,54,194,-2.3135165583331516,-3.701000616061729,1,latent_A
train,55,525,5.71914570610772,-0.13288522651698642,0,latent_B
train,56,195,-3.2403479041400836,-1.2061640354042054,1,latent_A
train,57,215,2.8993849551884745,-0.5403289531368372,0,latent_B
train,62,246,3.8890664546200093,1.556494095165443,0,latent_B
train,63,231,-2.498175946881824,0.402091997104051,1,latent_A
train,65,234,-2.7313050512540995,3.419740501250874,1,latent_A
train,66,165,-2.304422176429241,3.3429303163285513,1,latent_A
train,67,263,-2.8402268578388052,-0.4739698805065292,1,latent_A
train,68,201,-1.4615376485597806,-0.7894135524281538,1,latent_A
train,69,170,-3.003512887445932,-1.911453236063298,1,latent_A
train,70,172,-2.688807222704108,1.3895754627032395,1,latent_A
train,71,409,5.423387097534081,-1.3370907461457182,0,latent_B
train,73,215,5.656006491915118,-1.0841189601762693,0,latent_B
train,74,193,-2.4637986622547072,-0.07669544568626402,1,latent_A
train,77,255,2.551110042378168,-1.2811036146498893,0,latent_B
train,78,221,-2.9274372516790432,1.4828532059649644,1,latent_A
train,79,166,-3.4422653476650336,0.8246273505988067,1,latent_A
train,81,347,3.187456524950765,0.37488530370666845,0,latent_B
train,82,285,2.2729720660380566,-1.4974983293196273,0,latent_B
train,84,226,2.876421392007191,0.22315158983702413,0,latent_B
train,86,341,-1.998531881336655,1.1081983794313335,1,latent_A
train,89,207,4.142234459470039,0.30751518440842485,0,latent_B
train,90,181,-2.5482778067688336,0.8571034693575711,1,latent_A
train,91,156,-3.0396320319181296,3.056332078810087,1,latent_A
train,94,392,2.1175385225298533,-1.7791057167610023,0,latent_B
train,96,491,2.489328535602137,-0.660584039313956,0,latent_B
train,97,275,2.9942352175464126,0.18119449318082545,0,latent_B
train,98,307,2.8100521488908274,0.004953574870385041,0,latent_B
train,100,152,-2.8357576316973896,-2.2973172375909923,1,latent_A
val_tune,2,253,3.097164063934174,0.23661595529746696,0,latent_B
val_tune,3,222,-2.579726546010512,2.308515255151171,1,latent_A
val_tune,22,192,-2.7771319822092293,1.5066547802710912,1,latent_A
val_tune,24,494,5.781444965338112,-1.1996469309658397,0,latent_B
val_tune,30,218,-1.6623109917000092,-1.2968071668630359,1,latent_A
val_tune,33,231,3.322998512895286,1.4262087282551443,0,latent_B
val_tune,38,201,2.8022484913998196,0.3938478830970798,0,latent_B
val_tune,42,193,5.4799350586155935,-0.2515848765578104,0,latent_B
val_tune,49,256,2.7412500115054095,-0.786435840142515,0,latent_B
